index,id,latitude,longitude,stationName,zone
214,440,40.75255434,-73.97282625,E 45 St & 3 Ave,6
287,516,40.75206862,-73.96784384,E 47 St & 1 Ave,6
21,164,40.75323098,-73.97032517,E 47 St & 2 Ave,6
143,359,40.75510267,-73.97498696,E 47 St & Park Ave,5
34,228,40.7546011026,-73.971878855,E 48 St & 3 Ave,6
308,538,40.75666,-73.976684,E 48 St & Madison Ave,5
171,393,40.72299208,-73.97995466,E 5 St & Avenue C,3
226,454,40.75455731,-73.96592976,E 51 St & 1 Ave,6
293,522,40.75714758,-73.97207836,E 51 St & Lexington Ave,5
215,441,40.756014,-73.967416,E 52 St & 2 Ave,6
151,367,40.75828065,-73.97069431,E 53 St & Lexington Ave,6
228,456,40.7597108,-73.97402311,E 53 St & Madison Ave,5
163,385,40.75797322,-73.96603308,E 55 St & 2 Ave,6
325,2023,40.75968085,-73.97031366,E 55 St & Lexington Ave,5
236,464,40.75934501,-73.96759673,E 56 St & 3 Ave,6
9,137,40.761628,-73.972924,E 56 St & Madison Ave,5
92,305,40.76095756,-73.96724467,E 58 St & 3 Ave,6
324,2022,40.75849116,-73.95920622,E 59 St & Sutton Pl,6
104,317,40.72453734,-73.98185424,E 6 St & Avenue B,3
